URL	Prompt	Question	Option A	Option B	Option C	Option D	Correct Answer
https://attack.mitre.org/techniques/T0819	For the given question: Which of the following is a key target for exploiting public-facing applications in ICS environments?, and four options: A) Email servers, B) Workstations, C) Printers, or D) Desktop applications, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following is a key target for exploiting public-facing applications in ICS environments?	Email servers	Workstations	Printers	Desktop applications	B
https://attack.mitre.org/techniques/T0819	For the given question: Why are version numbers of public-facing applications important for attackers?, and four options: A) To determine the application’s popularity, B) To identify potential vulnerabilities, C) To track user activity, or D) To measure application performance, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Why are version numbers of public-facing applications important for attackers?	To determine the application’s popularity	To identify potential vulnerabilities	To track user activity	To measure application performance	B
https://attack.mitre.org/techniques/T0819	For the given question: What is one common tool adversaries use to find public-facing applications?, and four options: A) Virus scanners, B) Online port scanning tools, C) File integrity monitors, or D) Antivirus software, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is one common tool adversaries use to find public-facing applications?	Virus scanners	Online port scanning tools	File integrity monitors	Antivirus software	B
https://attack.mitre.org/techniques/T0819	For the given question: What mitigation strategy involves isolating an application to limit access to other processes?, and four options: A) Network segmentation, B) Vulnerability scanning, C) Application isolation and sandboxing, or D) Exploit protection, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What mitigation strategy involves isolating an application to limit access to other processes?	Network segmentation	Vulnerability scanning	Application isolation and sandboxing	Exploit protection	C
https://attack.mitre.org/techniques/T0819	For the given question: Which detection method can identify artifacts of common exploit traffic?, and four options: A) Endpoint detection, B) Application log analysis, C) Vulnerability scanning, or D) Deep packet inspection, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which detection method can identify artifacts of common exploit traffic?	Endpoint detection	Application log analysis	Vulnerability scanning	Deep packet inspection	D
https://attack.mitre.org/techniques/T0819	For the given question: Why might detecting software exploitation be challenging?, and four options: A) Exploits always leave clear traces, B) Exploits often succeed without causing any issues, C) Tools may be inadequate to detect all exploitation attempts, or D) Firewalls always block exploits, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Why might detecting software exploitation be challenging?	Exploits always leave clear traces	Exploits often succeed without causing any issues	Tools may be inadequate to detect all exploitation attempts	Firewalls always block exploits	C
https://attack.mitre.org/techniques/T0872	For the given question: Which tactic does the 'Indicator Removal on Host' technique primarily support?, and four options: A) Defense Evasion, B) Privilege Escalation, C) Credential Access, or D) Persistence, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which tactic does the 'Indicator Removal on Host' technique primarily support?	Defense Evasion	Privilege Escalation	Credential Access	Persistence	A
https://attack.mitre.org/techniques/T0872	For the given question: Which system logs does 'KillDisk' target for deletion?, and four options: A) Application logs, B) System logs, C) Security logs, or D) All of the above, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which system logs does 'KillDisk' target for deletion?	Application logs	System logs	Security logs	All of the above	D
https://attack.mitre.org/techniques/T0872	For the given question: What is a common detection method for 'Indicator Removal on Host'?, and four options: A) Monitoring user activity, B) Monitoring command execution, C) Monitoring network traffic, or D) Monitoring CPU usage, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a common detection method for 'Indicator Removal on Host'?	Monitoring user activity	Monitoring command execution	Monitoring network traffic	Monitoring CPU usage	B
https://attack.mitre.org/techniques/T0872	For the given question: How does 'Triton' attempt anti-forensics when reverting a controller state fails?, and four options: A) Deletes system logs, B) Overwrites the firmware, C) Writes a dummy program to memory, or D) Restarts the system, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How does 'Triton' attempt anti-forensics when reverting a controller state fails?	Deletes system logs	Overwrites the firmware	Writes a dummy program to memory	Restarts the system	C
https://attack.mitre.org/techniques/T0872	For the given question: What mitigation strategy helps prevent 'Indicator Removal on Host' activities?, and four options: A) Encrypting all files, B) Restricting file and directory permissions, C) Using multi-factor authentication, or D) Regularly updating software, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What mitigation strategy helps prevent 'Indicator Removal on Host' activities?	Encrypting all files	Restricting file and directory permissions	Using multi-factor authentication	Regularly updating software	B
https://attack.mitre.org/techniques/T0872	For the given question: Which data component is NOT typically monitored for detecting 'Indicator Removal on Host' activities?, and four options: A) Command Execution, B) File Deletion, C) Process Creation, or D) Network Packet Inspection, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which data component is NOT typically monitored for detecting 'Indicator Removal on Host' activities?	Command Execution	File Deletion	Process Creation	Network Packet Inspection	D
https://attack.mitre.org/techniques/T0845	For the given question: Which method can be used to upload a program from a PLC to gather information about an industrial process?, and four options: A) Vendor software, B) Email phishing, C) SQL injection, or D) Denial of Service (DoS), pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which method can be used to upload a program from a PLC to gather information about an industrial process?	Vendor software	Email phishing	SQL injection	Denial of Service (DoS)	A
https://attack.mitre.org/techniques/T0845	For the given question: What is a primary mitigation strategy to prevent unauthorized program uploads to field controllers?, and four options: A) Network encryption, B) Access Management, C) Regular backups, or D) Antivirus software, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a primary mitigation strategy to prevent unauthorized program uploads to field controllers?	Network encryption	Access Management	Regular backups	Antivirus software	B
https://attack.mitre.org/techniques/T0845	For the given question: Which protocol can INCONTROLLER use to upload programs from Schneider PLCs?, and four options: A) MQTT, B) CODESYS, C) Modbus, or D) OPC-UA, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which protocol can INCONTROLLER use to upload programs from Schneider PLCs?	MQTT	CODESYS	Modbus	OPC-UA	B
https://attack.mitre.org/techniques/T0845	For the given question: What function does Triton call to transfer its payloads to the Tricon, involving a program upload?, and four options: A) SafeReadMemory, B) SafeAppendProgramMod, C) TransferPayload, or D) SecureUpload, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What function does Triton call to transfer its payloads to the Tricon, involving a program upload?	SafeReadMemory	SafeAppendProgramMod	TransferPayload	SecureUpload	B
https://attack.mitre.org/techniques/T0845	For the given question: What mitigation can filter network traffic to prevent unauthorized program uploads in ICS environments?, and four options: A) Protocol Encryption, B) Network Allowlists, C) Communication Authenticity, or D) Filter Network Traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What mitigation can filter network traffic to prevent unauthorized program uploads in ICS environments?	Protocol Encryption	Network Allowlists	Communication Authenticity	Filter Network Traffic	D
https://attack.mitre.org/techniques/T0845	For the given question: Which data source can help detect irregular bulk transfers of data during program uploads?, and four options: A) System Logs, B) Application Logs, C) Network Traffic Flow, or D) User Access Logs, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which data source can help detect irregular bulk transfers of data during program uploads?	System Logs	Application Logs	Network Traffic Flow	User Access Logs	C
https://attack.mitre.org/techniques/T0869	For the given question: Which protocol is used by BlackEnergy to contact external command and control servers?, and four options: A) HTTP POST, B) HTTPS GET, C) Telnet, or D) RDP, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which protocol is used by BlackEnergy to contact external command and control servers?	HTTP POST	HTTPS GET	Telnet	RDP	A
https://attack.mitre.org/techniques/T0869	For the given question: What type of traffic might adversaries disguise their actions as, according to the technique T0869?, and four options: A) Benign network traffic, B) Malicious network traffic, C) Encrypted traffic, or D) Peer-to-peer traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What type of traffic might adversaries disguise their actions as, according to the technique T0869?	Benign network traffic	Malicious network traffic	Encrypted traffic	Peer-to-peer traffic	A
https://attack.mitre.org/techniques/T0869	For the given question: What kind of inspection is suggested for encrypted traffic to detect anomalies?, and four options: A) SSL/TLS inspection, B) IP inspection, C) Port inspection, or D) Packet header inspection, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What kind of inspection is suggested for encrypted traffic to detect anomalies?	SSL/TLS inspection	IP inspection	Port inspection	Packet header inspection	A
https://attack.mitre.org/techniques/T0869	For the given question: Which command does Triton use to communicate with its implant?, and four options: A) get main processor diagnostic data, B) get network status, C) get system uptime, or D) get process list, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which command does Triton use to communicate with its implant?	get main processor diagnostic data	get network status	get system uptime	get process list	A
https://attack.mitre.org/techniques/T0869	For the given question: What specific value does Stuxnet look for in block DB890 on an infected PLC?, and four options: A) Magic value, B) Timestamp, C) Counter value, or D) Session ID, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What specific value does Stuxnet look for in block DB890 on an infected PLC?	Magic value	Timestamp	Counter value	Session ID	A
https://attack.mitre.org/techniques/T0869	For the given question: What kind of network traffic analysis can help in detecting anomalies associated with protocol standards?, and four options: A) Traffic patterns and packet inspection, B) Header inspection only, C) Port scanning only, or D) IP address filtering only, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What kind of network traffic analysis can help in detecting anomalies associated with protocol standards?	Traffic patterns and packet inspection	Header inspection only	Port scanning only	IP address filtering only	A
https://attack.mitre.org/techniques/T0859	For the given question: What can adversaries achieve by using stolen credentials in ICS environments?, and four options: A) Initial access to the network, B) Privilege escalation, C) Physical damage to machinery, or D) Denial of service, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What can adversaries achieve by using stolen credentials in ICS environments?	Initial access to the network	Privilege escalation	Physical damage to machinery	Denial of service	B
https://attack.mitre.org/techniques/T0859	For the given question: Which mitigation strategy involves using IP allowlisting to restrict access?, and four options: A) Access Management, B) Filter Network Traffic, C) Multi-factor Authentication, or D) Privileged Account Management, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which mitigation strategy involves using IP allowlisting to restrict access?	Access Management	Filter Network Traffic	Multi-factor Authentication	Privileged Account Management	B
https://attack.mitre.org/techniques/T0859	For the given question: Why might adversaries avoid using malware when leveraging valid credentials?, and four options: A) To save resources, B) To avoid detection, C) To bypass firewalls, or D) To increase speed, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Why might adversaries avoid using malware when leveraging valid credentials?	To save resources	To avoid detection	To bypass firewalls	To increase speed	B
https://attack.mitre.org/techniques/T0859	For the given question: How can adversaries pivot across systems using valid credentials?, and four options: A) By exploiting software vulnerabilities, B) By using lateral movement techniques, C) By conducting phishing attacks, or D) By installing rootkits, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How can adversaries pivot across systems using valid credentials?	By exploiting software vulnerabilities	By using lateral movement techniques	By conducting phishing attacks	By installing rootkits	B
https://attack.mitre.org/techniques/T0859	For the given question: Which of the following is a key aspect of Active Directory Configuration as a mitigation strategy?, and four options: A) Implementing least privilege, B) Using complex passwords, C) Enforcing session timeouts, or D) Regularly updating software, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following is a key aspect of Active Directory Configuration as a mitigation strategy?	Implementing least privilege	Using complex passwords	Enforcing session timeouts	Regularly updating software	A
https://attack.mitre.org/techniques/T0859	For the given question: What is the significance of monitoring logon session metadata in detecting adversary activity?, and four options: A) It detects brute force attacks, B) It identifies the source of malware, C) It tracks suspicious account behavior, or D) It prevents data exfiltration, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is the significance of monitoring logon session metadata in detecting adversary activity?	It detects brute force attacks	It identifies the source of malware	It tracks suspicious account behavior	It prevents data exfiltration	C
https://attack.mitre.org/techniques/T0881	For the given question: Which of the following best describes the main goal of the Service Stop technique?, and four options: A) To enhance system performance, B) To facilitate legitimate software updates, C) To disable security services and response functions, or D) To create backups of critical data, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following best describes the main goal of the Service Stop technique?	To enhance system performance	To facilitate legitimate software updates	To disable security services and response functions	To create backups of critical data	C
https://attack.mitre.org/techniques/T0881	For the given question: What might adversaries use the Service Stop technique to achieve?, and four options: A) Increase network traffic, B) Conduct data destruction, C) Enhance user experience, or D) Optimize system resources, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What might adversaries use the Service Stop technique to achieve?	Increase network traffic	Conduct data destruction	Enhance user experience	Optimize system resources	B
https://attack.mitre.org/techniques/T0881	For the given question: Which of the following mitigation strategies can help prevent the Service Stop technique?, and four options: A) Regular software updates, B) Network segmentation, C) Installing antivirus software, or D) Using strong passwords, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following mitigation strategies can help prevent the Service Stop technique?	Regular software updates	Network segmentation	Installing antivirus software	Using strong passwords	B
https://attack.mitre.org/techniques/T0881	For the given question: How does the EKANS malware utilize the Service Stop technique?, and four options: A) It encrypts data without stopping services, B) It renames processes to evade detection, C) It uses a kill-list to stop specific processes, or D) It modifies user account permissions, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How does the EKANS malware utilize the Service Stop technique?	It encrypts data without stopping services	It renames processes to evade detection	It uses a kill-list to stop specific processes	It modifies user account permissions	C
https://attack.mitre.org/techniques/T0881	For the given question: What is a common method used by adversaries to execute the Service Stop technique remotely?, and four options: A) Using phishing emails, B) Implementing netsh firewall rules, C) Modifying service registry keys, or D) Exploiting software vulnerabilities, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a common method used by adversaries to execute the Service Stop technique remotely?	Using phishing emails	Implementing netsh firewall rules	Modifying service registry keys	Exploiting software vulnerabilities	C
https://attack.mitre.org/techniques/T0881	For the given question: How can monitoring OS API execution help detect the Service Stop technique?, and four options: A) It identifies unusual network traffic, B) It logs all user activities, C) It tracks remote access tools interacting with Windows API, or D) It scans for malware signatures, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How can monitoring OS API execution help detect the Service Stop technique?	It identifies unusual network traffic	It logs all user activities	It tracks remote access tools interacting with Windows API	It scans for malware signatures	C
https://attack.mitre.org/techniques/T0895	For the given question: Which of the following best describes the primary purpose of leveraging AutoRun functionality by adversaries in ICS environments?, and four options: A) To disable system firewalls, B) To execute malicious code automatically, C) To encrypt system data, or D) To monitor network traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following best describes the primary purpose of leveraging AutoRun functionality by adversaries in ICS environments?	To disable system firewalls	To execute malicious code automatically	To encrypt system data	To monitor network traffic	B
https://attack.mitre.org/techniques/T0895	For the given question: What mitigation can be used to prevent abuse of AutoRun functionality?, and four options: A) Install antivirus software, B) Enable AutoRun for trusted devices only, C) Disable AutoRun in operating system configurations, or D) Use strong passwords for all accounts, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What mitigation can be used to prevent abuse of AutoRun functionality?	Install antivirus software	Enable AutoRun for trusted devices only	Disable AutoRun in operating system configurations	Use strong passwords for all accounts	C
https://attack.mitre.org/techniques/T0895	For the given question: Which component should be monitored to detect potential abuse of AutoRun functionality?, and four options: A) Network traffic, B) User login attempts, C) Drive creation, or D) New user accounts, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which component should be monitored to detect potential abuse of AutoRun functionality?	Network traffic	User login attempts	Drive creation	New user accounts	C
https://attack.mitre.org/techniques/T0895	For the given question: What is a significant risk associated with AutoRun in virtual machine environments?, and four options: A) Improper software updates, B) Automatic execution of malicious code without prior remote access, C) Unauthorized user account creation, or D) Excessive use of system resources, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a significant risk associated with AutoRun in virtual machine environments?	Improper software updates	Automatic execution of malicious code without prior remote access	Unauthorized user account creation	Excessive use of system resources	B
https://attack.mitre.org/techniques/T0895	For the given question: During the 2022 Ukraine Electric Power Attack, how did the adversaries exploit AutoRun functionality?, and four options: A) By using phishing emails, B) By gaining hypervisor access and mapping a malicious ISO image, C) By exploiting unpatched software vulnerabilities, or D) By DDoS attacks on the power grid, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	During the 2022 Ukraine Electric Power Attack, how did the adversaries exploit AutoRun functionality?	By using phishing emails	By gaining hypervisor access and mapping a malicious ISO image	By exploiting unpatched software vulnerabilities	By DDoS attacks on the power grid	B
https://attack.mitre.org/techniques/T0895	For the given question: What detection method can identify the use of AutoRun for executing malicious code?, and four options: A) Monitoring for failed login attempts, B) Tracking high CPU usage, C) Analyzing process creation events from removable media, or D) Reviewing firewall logs, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What detection method can identify the use of AutoRun for executing malicious code?	Monitoring for failed login attempts	Tracking high CPU usage	Analyzing process creation events from removable media	Reviewing firewall logs	C
https://attack.mitre.org/techniques/T0811	For the given question: Which of the following best describes the type of data adversaries may target from information repositories?, and four options: A) Sensitive data such as control system specifications, B) Social media credentials, C) Personal emails, or D) Customer purchase history, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following best describes the type of data adversaries may target from information repositories?	Sensitive data such as control system specifications	Social media credentials	Personal emails	Customer purchase history	A
https://attack.mitre.org/techniques/T0811	For the given question: Why is it important to monitor access by privileged users to information repositories?, and four options: A) They have no need to access sensitive information, B) They can misuse their access to steal data, C) They rarely access these repositories, or D) It is required by law, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Why is it important to monitor access by privileged users to information repositories?	They have no need to access sensitive information	They can misuse their access to steal data	They rarely access these repositories	It is required by law	B
https://attack.mitre.org/techniques/T0811	For the given question: Which of the following is a mitigation strategy for protecting sensitive data in information repositories?, and four options: A) Allowing public access, B) Encrypting sensitive information, C) Sharing passwords, or D) Disabling all user accounts, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following is a mitigation strategy for protecting sensitive data in information repositories?	Allowing public access	Encrypting sensitive information	Sharing passwords	Disabling all user accounts	B
https://attack.mitre.org/techniques/T0811	For the given question: What kind of data did Chinese state-sponsored actors search for in ONG organizations between 2011 and 2013?, and four options: A) System manuals and personnel lists, B) Marketing strategies, C) Financial reports, or D) Customer feedback, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What kind of data did Chinese state-sponsored actors search for in ONG organizations between 2011 and 2013?	System manuals and personnel lists	Marketing strategies	Financial reports	Customer feedback	A
https://attack.mitre.org/techniques/T0811	For the given question: Which detection strategy can help identify malicious access to network shares?, and four options: A) Monitoring login times, B) Monitoring unexpected access to network shares, C) Tracking software updates, or D) Recording email logins, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which detection strategy can help identify malicious access to network shares?	Monitoring login times	Monitoring unexpected access to network shares	Tracking software updates	Recording email logins	B
https://attack.mitre.org/techniques/T0811	For the given question: How can User-Behavioral Analytics (UBA) platforms be useful in detecting threats to information repositories?, and four options: A) By encrypting data, B) By preventing logins, C) By analyzing user behavior for anomalies, or D) By deleting old data, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How can User-Behavioral Analytics (UBA) platforms be useful in detecting threats to information repositories?	By encrypting data	By preventing logins	By analyzing user behavior for anomalies	By deleting old data	C
https://attack.mitre.org/techniques/T0813	For the given question: Which of the following best describes the Denial of Control technique?, and four options: A) Temporarily prevents operators from interacting with control devices, B) Allows operators to enhance control over devices, C) Improves communication between devices and operators, or D) Provides backup control in case of failure, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following best describes the Denial of Control technique?	Temporarily prevents operators from interacting with control devices	Allows operators to enhance control over devices	Improves communication between devices and operators	Provides backup control in case of failure	A
https://attack.mitre.org/techniques/T0813	For the given question: What incident is mentioned as an example of Denial of Control?, and four options: A) 2015 Ukraine Electric Power Attack, B) 2016 Bangladesh Bank Heist, C) Stuxnet Attack, or D) NotPetya Ransomware Attack, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What incident is mentioned as an example of Denial of Control?	2015 Ukraine Electric Power Attack	2016 Bangladesh Bank Heist	Stuxnet Attack	NotPetya Ransomware Attack	A
https://attack.mitre.org/techniques/T0813	For the given question: What is a potential impact of Denial of Control on a process?, and four options: A) Process operates in a desired state, B) Process becomes more efficient, C) Temporary loss of communication with the control device, or D) Increase in operator control, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a potential impact of Denial of Control on a process?	Process operates in a desired state	Process becomes more efficient	Temporary loss of communication with the control device	Increase in operator control	C
https://attack.mitre.org/techniques/T0813	For the given question: What tactic is associated with Denial of Control in the MITRE ATT&CK framework?, and four options: A) Collection, B) Execution, C) Impact, or D) Exfiltration, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What tactic is associated with Denial of Control in the MITRE ATT&CK framework?	Collection	Execution	Impact	Exfiltration	C
https://attack.mitre.org/techniques/T0813	For the given question: How did the Sandworm Team execute Denial of Control during the 2015 Ukraine Electric Power Attack?, and four options: A) Blocked network traffic to RTUs, B) Overwrote firmware for serial-to-ethernet converters, C) Disabled power grid systems, or D) Intercepted operator commands, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How did the Sandworm Team execute Denial of Control during the 2015 Ukraine Electric Power Attack?	Blocked network traffic to RTUs	Overwrote firmware for serial-to-ethernet converters	Disabled power grid systems	Intercepted operator commands	B
https://attack.mitre.org/techniques/T0813	For the given question: Which mitigation strategy involves providing operators with redundant communication channels?, and four options: A) Data Backup, B) Out-of-Band Communications Channel, C) Redundancy of Service, or D) Network Segmentation, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which mitigation strategy involves providing operators with redundant communication channels?	Data Backup	Out-of-Band Communications Channel	Redundancy of Service	Network Segmentation	B
https://attack.mitre.org/techniques/T0893	For the given question: What is a common technique used by adversaries to collect data from local systems?, and four options: A) Using Command-Line Interface, B) Accessing cloud databases, C) Intercepting network traffic, or D) Using external storage devices, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a common technique used by adversaries to collect data from local systems?	Using Command-Line Interface	Accessing cloud databases	Intercepting network traffic	Using external storage devices	A
